!	0-52	0-52	53-65	53-65	66-71	66-71	72-77	72-77	78-84	78-84	85-89	85-89	90-102	90-102	103-127	103-127
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	0.40	0.40	1.20	1.20	3.60	3.60	4.80	4.80	6.40	6.40	7.60	7.60
-7.4	!	6.0	!	6.0	!	6.0	!	6.0	!	6.0	!	6.0	!	6.0	!	6.0
!	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	48	48	!	!	72	72	72	72	84	84	84	84	96	96	96	96
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
400	!	400	!	400	!	400	!	400	!	400	!	400	!	400	!	400
1.3	!	1.9	!	1.9	!	1.9	!	1.9	!	1.9	!	1.9	!	1.9	!	1.9
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.350	!	2.600	!	2.600	!	2.600	!	2.600	!	2.600	!	2.600	!	2.600	!	2.600
0.414	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001
28.003	!	28.003	!	28.003	!	28.003	!	28.003	!	28.003	!	28.003	!	28.003	!	28.003
2.3	!	2.3	!	2.3	!	2.3	!	2.3	!	2.3	!	2.3	!	2.3	!	2.3
1.900	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
2.890	!	0.460	!	0.460	!	0.460	!	0.460	!	0.460	!	0.460	!	0.460	!	0.460
9.000	!	9.000	!	9.000	!	9.000	!	9.000	!	9.000	!	9.000	!	9.000	!	9.000
0.780	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001
28.003	!	19.005	!	19.005	!	19.005	!	19.005	!	19.005	!	19.005	!	19.005	!	19.005
!	!	45.0	!	45.0	!	45.0	!	45.0	!	45.0	!	45.0	!	45.0	!	45.0
1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800	!	1.800
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
1950	!	4275	!	4275	!	4275	!	4275	!	4275	!	4275	!	4275	!	4275
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001	!	0.001
0.084	!	0.160	!	0.160	!	0.160	!	0.160	!	0.160	!	0.160	!	0.160	!	0.160
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
3543	!	1800	!	1800	!	1800	!	1800	!	1800	!	1800	!	1800	!	1800
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
0.001	!	0.084	!	0.084	!	0.084	!	0.084	!	0.084	!	0.084	!	0.084	!	0.084
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
!	16141	16141	10074	10074	27460	27460	27460	27460	8185	8185	8185	8185	4664	4664	4664	4664
!	-3861	-3861	-4160	-4160	-3021	-3021	-3021	-3021	-1757	-1757	-1757	-1757	-2838	-2838	-2838	-2838
