!	0-43	44-55	56-67	68-79	80-91	92-127
!	!	!	!	!	!	!
11.20	6.80	!	!	!	9.20	7.60
!	-15.0	-9.0	-3.0	3.0	9.0	15.0
!	1	1	1	1	1	1
?	?	?	?	?	?	?
!	38	50	62	74	86	98
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
200	300	500	700	1000	1300	1600
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.300	!	!	!	0.001	0.001	0.001
3.000	!	!	!	!	2.000	1.000
100.0	!	!	!	!	!	!
1.000	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.100	!	!	!	!	!	!
1.000	!	!	!	!	!	!
!	!	!	!	!	!	!
1.000	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.100	!	!	!	!	!	!
5.001	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
0.100	!	!	!	!	!	!
5.001	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
?	?	?	?	?	?	?
!	!	!	!	!	!	!
!	!	!	!	!	!	!
