!	0-44	45-56	57-61	62-68	69-72	73-76	77-80	81-84	85-93	94-96	97-98	99-108
!	!	!	!	!	!	!	!	!	!	!	!	!
!	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40	5.40
!	2.9	2.9	2.9	2.9	2.9	2.9	2.5	2.9	2.9	2.9	2.9	2.9
!	1	1	1	1	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?	?	?	?	?
!	66	66	70	78	82	85	89	93	93	93	109	109
!	!	!	!	!	!	!	!	!	!	!	!	!
!	-3	-3	7	12	26	-34	-31	-4	-4	-4	10	10
!	!	!	!	!	!	!	!	!	!	!	!	!
!	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.960	1.960	1.960	1.960	1.960	1.960	1.960	1.960	1.960	1.960	1.960	1.960
!	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
!	0.224	0.224	0.224	0.224	0.224	0.195	0.224	0.224	0.224	0.224	0.224	0.224
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740	1.740
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090
!	!	!	!	!	!	!	!	!	!	!	!	!
!	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379	5.379
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
!	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!	!	!	!	!
