!	0-52	53-58	59-62	63-65	66-69	70-73	74-96	97-108
!	!	!	!	!	!	!	!	!
!	6.60	6.88	6.88	6.88	6.88	6.88	6.88	9.00
!	!	!	!	!	!	!	!	!
!	1	1	1	1	1	1	1	1
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	560	560	579	579	579	579	579	641
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.030	0.030	0.030	0.030	0.030	0.030	0.030	0.030
!	1.150	1.150	1.150	1.150	1.150	1.150	1.150	1.150
!	28.198	28.198	28.198	28.198	28.198	28.198	28.198	28.198
!	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
!	1.160	1.110	1.110	1.110	1.110	1.110	1.110	1.110
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	19.801	19.801	19.801	19.801	19.801	19.801	19.801	19.801
!	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5
!	1.060	1.060	1.060	1.060	1.060	1.060	1.060	1.060
!	!	!	!	!	!	!	!	!
!	3937	3937	3937	4050	4050	4050	4050	4050
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010
!	5.130	5.130	5.130	5.130	5.130	5.130	5.130	5.130
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
!	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
?	?	?	?	?	?	?	?	?
!	!	!	!	!	!	!	!	!
!	!	!	!	!	!	!	!	!
